Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG
Kortney Hause,ENG,DF,Aston Villa,25,1995,7,7,630,7.0,1,0,1,1,0,0,2,0,1.0,1.0,0.0,1.0
Kai Havertz,GER,"MF,FW",Chelsea,21,1999,27,18,1520,16.9,4,3,7,4,0,0,2,0,5.5,5.5,1.3,6.8
Isaac Hayden,ENG,"MF,DF",Newcastle Utd,25,1995,24,22,1942,21.6,0,0,0,0,0,0,8,0,0.7,0.7,0.3,1.0
Michael Hector,JAM,DF,Fulham,28,1992,4,3,263,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1
Ahmed Hegazi,EGY,DF,West Brom,29,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Dean Henderson,ENG,GK,Manchester Utd,23,1997,13,12,1125,12.5,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0
Jordan Henderson,ENG,"MF,DF",Liverpool,30,1990,21,20,1704,18.9,1,1,2,1,0,0,0,0,1.3,1.3,1.5,2.8
Jeff Hendrick,IRL,MF,Newcastle Utd,28,1992,22,17,1422,15.8,2,1,3,2,0,0,3,1,1.1,1.1,1.1,2.2
Pablo Hernández,ESP,MF,Leeds United,35,1985,16,3,427,4.7,0,2,2,0,0,0,1,0,1.1,1.1,0.7,1.8
Son Heung-min,KOR,FW,Tottenham,28,1992,37,36,3114,34.6,17,10,27,16,1,1,0,0,9.7,8.9,8.4,17.4
Ki-Jana Hoever,NED,"DF,MF",Wolves,18,2002,12,5,577,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2
Rob Holding,ENG,DF,Arsenal,24,1995,30,28,2558,28.4,0,1,1,0,0,0,2,0,1.0,1.0,0.2,1.2
Mason Holgate,ENG,DF,Everton,23,1996,28,26,2287,25.4,1,0,1,1,0,0,9,0,1.0,1.0,0.7,1.7
Conor Hourihane,IRL,MF,Aston Villa,29,1991,4,3,225,2.5,1,1,2,1,0,0,0,0,0.7,0.7,0.6,1.3
Callum Hudson-Odoi,ENG,"FW,DF",Chelsea,19,2000,23,10,1059,11.8,2,3,5,2,0,0,0,0,1.3,1.3,2.8,4.1
Niall Huggins,WAL,DF,Leeds United,19,2000,1,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Pierre Højbjerg,DEN,MF,Tottenham,24,1995,38,38,3420,38.0,2,4,6,2,0,0,9,0,1.1,1.1,1.6,2.7
Odion Ighalo,NGA,FW,Manchester Utd,31,1989,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Kelechi Iheanacho,NGA,FW,Leicester City,23,1996,25,16,1459,16.2,12,2,14,12,0,1,1,0,8.2,7.4,3.7,11.1
Danny Ings,ENG,FW,Southampton,28,1992,29,26,2173,24.1,12,4,16,10,2,2,1,0,8.5,6.9,2.1,9.1
Branislav Ivanović,SRB,DF,West Brom,36,1984,13,8,767,8.5,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6
Alex Iwobi,NGA,"FW,MF",Everton,24,1996,30,17,1542,17.1,1,2,3,1,0,0,0,0,0.9,0.9,1.9,2.8
José Izquierdo,COL,DF,Brighton,28,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Phil Jagielka,ENG,DF,Sheffield Utd,37,1982,10,6,526,5.8,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0
Alireza Jahanbakhsh,IRN,"FW,MF",Brighton,26,1993,21,6,528,5.9,0,1,1,0,0,0,3,0,1.5,1.5,3.0,4.5
Daniel James,WAL,FW,Manchester Utd,22,1997,15,11,910,10.1,3,1,4,3,0,0,3,0,2.2,2.2,0.9,3.1
